,topic,count
0,qanonresearch,2069735
1,agatha2,9332
2,bb,7188
3,polru,4420
4,punasipuli,3652
5,kanojo,3356
6,rus,2741
7,baaa2,2608
8,rapport,1782
9,test,895
10,fag,664
11,nido,551
12,news,244
13,operate,244
14,dobrochan,105
15,Hisrol,72
16,nuro,66
17,tech,65
18,AM,61
19,aaanwopros,56
20,am,55
21,librejp,50
22,ethernet,48
23,lgbt,45
24,v,44
25,esperanto,44
26,pol,43
27,dota,41
28,pone,36
29,choroy,35
30,kc,34
31,r9k,34
32,fscchan,33
33,turul,32
34,mod,31
35,genshin,30
36,his,29
37,film,25
38,b,20
39,55chan,18
40,art,18
41,italia,15
42,spoon,14
43,draw,13
44,hope,10
45,cumetc,4
